date,sales
2015-01-01,120
2015-02-01,128
2015-03-01,140
2015-04-01,155
2015-05-01,165
2015-06-01,170
2015-07-01,160
2015-08-01,158
2015-09-01,150
2015-10-01,145
2015-11-01,148
2015-12-01,160
2016-01-01,130
2016-02-01,138
2016-03-01,150
2016-04-01,165
2016-05-01,175
2016-06-01,180
2016-07-01,170
2016-08-01,168
2016-09-01,160
2016-10-01,155
2016-11-01,158
2016-12-01,170
2017-01-01,140
2017-02-01,148
2017-03-01,160
2017-04-01,175
2017-05-01,185
2017-06-01,190
2017-07-01,180
2017-08-01,178
2017-09-01,170
2017-10-01,165
2017-11-01,168
2017-12-01,180
2018-01-01,150
2018-02-01,158
2018-03-01,170
2018-04-01,185
2018-05-01,195
2018-06-01,200
2018-07-01,190
2018-08-01,188
2018-09-01,180
2018-10-01,175
2018-11-01,178
2018-12-01,190
2019-01-01,160
2019-02-01,168
2019-03-01,180
2019-04-01,195
2019-05-01,205
2019-06-01,210
2019-07-01,200
2019-08-01,198
2019-09-01,190
2019-10-01,185
2019-11-01,188
2019-12-01,200
2020-01-01,170
2020-02-01,178
2020-03-01,190
2020-04-01,205
2020-05-01,215
2020-06-01,220
2020-07-01,210
2020-08-01,208
2020-09-01,200
2020-10-01,195
2020-11-01,198
2020-12-01,210
