date,sales
2018-01-01,52.48
2018-01-02,51.62
2018-01-03,57.77
2018-01-04,64.2
2018-01-05,57.2
2018-01-06,58.66
2018-01-07,68.81
2018-01-08,65.42
2018-01-09,59.47
2018-01-10,64.33
2018-01-11,58.68
2018-01-12,57.68
2018-01-13,59.9
2018-01-14,47.54
2018-01-15,46.73
2018-01-16,50.7
2018-01-17,46.6
2018-01-18,51.48
2018-01-19,43.8
2018-01-20,39.96
2018-01-21,53.35
2018-01-22,44.28
2018-01-23,45.54
2018-01-24,38.32
2018-01-25,43.39
2018-01-26,47.75
2018-01-27,42.9
2018-01-28,52.32
2018-01-29,49.48
2018-01-30,53.25
2018-01-31,54.01
2018-02-01,68.6
2018-02-02,61.49
2018-02-03,58.32
2018-02-04,69.5
2018-02-05,60.75
2018-02-06,68.98
2018-02-07,58.81
2018-02-08,62.2
2018-02-09,69.63
2018-02-10,71.72
2018-02-11,67.89
2018-02-12,65.13
2018-02-13,62.63
2018-02-14,54.99
2018-02-15,56.94
2018-02-16,56.39
2018-02-17,62.22
2018-02-18,57.08
2018-02-19,45.22
2018-02-20,54.67
2018-02-21,50.5
2018-02-22,48.84
2018-02-23,55.52
2018-02-24,58.29
2018-02-25,58.87
2018-02-26,51.48
2018-02-27,55.92
2018-02-28,61.17
2018-03-01,66.61
2018-03-02,61.65
2018-03-03,65.43
2018-03-04,63.05
2018-03-05,64.65
2018-03-06,76.48
2018-03-07,80.66
2018-03-08,74.6
2018-03-09,80.65
2018-03-10,77.67
2018-03-11,72.44
2018-03-12,76.86
2018-03-13,81.74
2018-03-14,72.55
2018-03-15,78.98
2018-03-16,56.3
2018-03-17,71.67
2018-03-18,66.15
2018-03-19,62.46
2018-03-20,62.84
2018-03-21,51.13
2018-03-22,58.97
2018-03-23,61.24
2018-03-24,66.64
2018-03-25,56.89
2018-03-26,56.11
2018-03-27,58.73
2018-03-28,67.28
2018-03-29,66.13
2018-03-30,63.89
2018-03-31,71.32
2018-04-01,71.56
2018-04-02,78.23
2018-04-03,72.1
2018-04-04,76.01
2018-04-05,77.48
2018-04-06,73.58
2018-04-07,83.47
2018-04-08,83.96
2018-04-09,82.91
2018-04-10,81.51
2018-04-11,74.99
2018-04-12,78.97
2018-04-13,78.04
2018-04-14,74.17
2018-04-15,75.62
2018-04-16,76.6
2018-04-17,82.17
2018-04-18,71.86
2018-04-19,70.69
2018-04-20,67.71
2018-04-21,57.5
2018-04-22,66.34
2018-04-23,66.58
2018-04-24,78.83
2018-04-25,66.22
2018-04-26,69.77
2018-04-27,69.55
2018-04-28,65.67
2018-04-29,79.27
2018-04-30,79.54
2018-05-01,82.05
2018-05-02,75.86
2018-05-03,89.64
2018-05-04,77.66
2018-05-05,89.4
2018-05-06,98.88
2018-05-07,84.06
2018-05-08,86.85
2018-05-09,90.41
2018-05-10,87.19
2018-05-11,81.34
2018-05-12,88.44
2018-05-13,81.47
2018-05-14,87.57
2018-05-15,78.85
2018-05-16,89.36
2018-05-17,75.84
2018-05-18,76.4
2018-05-19,80.5
2018-05-20,68.96
2018-05-21,75.25
